"","rho1","rho2","rho3","rho4","rho5","rho6","rho7","rho8","sigma1","sigma2","sigma3","sigma4","sigma5","sigma6","sigma7","sigma8","omega_rational1","omega_rational2","omega_rational3","omega_rational4","omega_rational5","omega_rational6","omega_rational7","omega_rational8","omega_lottery1","omega_lottery2","omega_lottery3","omega_lottery4","omega_lottery5","omega_lottery6","omega_lottery7","omega_lottery8","omega_surebet1","omega_surebet2","omega_surebet3","omega_surebet4","omega_surebet5","omega_surebet6","omega_surebet7","omega_surebet8","lp__1","lp__2","lp__3","lp__4","lp__5","lp__6","lp__7","lp__8","dataset"
"1",0.663936840513508,0.706505892174944,0.453340803083181,0.425885946538799,0.455232064790235,0.632330446327575,0.499971719990632,0.591049894427896,1.87298718450512,2.70041820112121,0.81710533213659,0.542222771820842,0.360543863164514,1.40202751685746,1.18013818006141,1.3928926766734,0.805537232603133,0.759121798239306,0.924804600800653,0.764469919242433,0.649878900596362,0.725974584096321,0.938548870072178,0.899031664718516,0.143941495005016,0.206695720066856,0.0531603774340832,0.0523075508612002,0.164119862793424,0.225560188565368,0.0182056745727904,0.05076360804984,0.0505212723918502,0.0341824816938381,0.0220350217652641,0.183222529896367,0.186001236610214,0.0484652273383114,0.0432454553550312,0.0502047272316445,-130.453171090107,-136.344626801988,-100.567118384021,-108.954737070778,-148.760315444004,-149.119977966548,-89.6070540522441,-97.7498311392358,"Control"
"2",0.763394859590232,0.701052486888969,0.491567289061069,0.399429216362446,0.502443441133988,0.60726960383907,0.49388805648984,0.467547622906456,2.35044771841499,3.25874146963834,0.876346637755473,0.458356951533758,0.459018086415447,1.02357098478005,1.03658295818431,0.819102579498778,0.801054135798453,0.842238526070778,0.93044197209863,0.835537887876718,0.714966256930917,0.77480627619096,0.986435553886362,0.941171218593619,0.1412857509302,0.135477759470736,0.0303125368257694,0.0887680127466302,0.143294961253966,0.18994198974524,0.0037188888969568,0.0564306086142353,0.057660113271347,0.0222837144584861,0.0392454910756001,0.0756940993766516,0.141738781815117,0.0352517340638006,0.00984555721668147,0.00239817279214614,-131.332623310099,-138.022789571279,-100.743845048261,-110.253529164227,-149.231123602672,-148.904386521285,-92.6975581232591,-95.9873586187141,"Control"
"3",0.629927256244411,0.7200270461011,0.567829983397072,0.4786296842835,0.518257391316332,0.553382539943275,0.476774143289068,0.488842276285654,2.03276932148531,3.02338823672674,1.92493715183849,1.10357286486916,0.636063858866478,0.817488425794723,0.779719110619205,0.873288053612941,0.779232557281418,0.809384616086028,0.898801779567866,0.756377195535532,0.608528790030895,0.653149676606594,0.971505975040794,0.895380539030044,0.151932402783893,0.171917638420804,0.010145196031176,0.0318033965547018,0.164910162600977,0.298385585389257,0.0161179969424714,0.0825594967980904,0.0688350399346896,0.0186977454931676,0.0910530244009581,0.211819407909767,0.226561047368128,0.048464738004149,0.0123760280167346,0.0220599641718656,-132.716969970753,-137.096756877094,-101.256351462849,-110.097352124496,-148.607395454223,-151.443997033709,-91.7191019904042,-92.9844892150558,"Control"
"4",0.617433310436831,0.678429288423559,0.552067276144315,0.411738989238841,0.518695292419599,0.668969182111399,0.47903707478255,0.462703183489206,1.43838940085196,2.63191276442543,2.31915537649313,0.661520543362351,0.478969117007387,1.15004311149123,0.875848869714605,0.691988278534851,0.710822514352302,0.73249513566103,0.944986679085423,0.860946847070786,0.718100063866114,0.720953818564441,0.972732978199848,0.80853043126425,0.237176345923157,0.241998338967383,0.0120047542877942,0.0450840955060473,0.154798011361721,0.190248029750488,0.00571577123880794,0.149958539872856,0.0520011397245415,0.0255065253715873,0.0430085666267832,0.0939690574231669,0.127101924772165,0.0887981516850714,0.0215512505613442,0.0415110288628943,-133.213495044514,-137.264647646205,-104.883876916033,-108.101654609944,-151.082711966178,-148.984548266685,-91.7720046496644,-97.2172092434227,"Control"
"5",0.780185114190936,0.701811492001946,0.479297688488646,0.43294594376822,0.469740655827355,0.569947475161003,0.484875137145978,0.544348283456718,3.43898684671541,2.58407443654508,1.19569632998579,0.635346539687258,0.331595156735349,0.831894279507839,0.947162568859388,1.21739586460639,0.816763510667413,0.692636940450658,0.955841120492077,0.863784622472587,0.637584733963325,0.723059807281975,0.936119369314083,0.879037715898772,0.145504547361705,0.274941707494806,0.0232160385810357,0.0420205979346001,0.192803112237369,0.19104972583987,0.0263801368592232,0.0650613842839069,0.0377319419708814,0.0324213520545361,0.0209428409268877,0.0941947795928126,0.169612153799306,0.0858904668781544,0.0375004938266936,0.0559008998173212,-131.547197455241,-138.20845776157,-99.6055737843804,-109.414123501754,-149.621299783445,-148.776422418069,-89.2449343524259,-94.5472860930331,"Control"
"6",0.691006579123694,0.738665764567575,0.534914867843518,0.433053507836702,0.490492502180241,0.614166906912535,0.467686088438714,0.517405565799709,1.79082060590089,1.91964075450714,1.35408578440319,0.607745105654166,0.512705396445919,0.790552498294973,0.923779172331439,1.36232525619011,0.842573239567038,0.737364584091881,0.780357875570918,0.806793731628394,0.553011691652394,0.652564685781169,0.914202495073324,0.918007534623209,0.128828990508818,0.208883312191532,0.0442771166993097,0.0249065621645224,0.1392372455891,0.239397138269601,0.00622073097016626,0.0593715765892673,0.0285977699241439,0.0537521037165876,0.175365007729772,0.168299706207083,0.307751062758506,0.108038175949231,0.0795767739565099,0.0226208887875233,-131.636377662258,-137.902447182662,-101.729757366511,-110.906904310129,-151.742873424377,-148.570260464163,-92.5644726795683,-94.4767408742696,"Control"
"7",0.62998975976952,0.682384648559621,0.547590795547342,0.495907510321199,0.525341339224796,0.649008240504512,0.460333898699268,0.462304952501828,1.19837507122918,2.06449195700232,1.85142478706119,1.25889298150243,0.400970903103805,1.4946732733469,0.904229512438032,0.628455797779565,0.740065597436251,0.711679121443153,0.87694473702155,0.73410037779852,0.650914658554463,0.730305587625039,0.925333068330256,0.899407621831795,0.23457698209288,0.24900573735772,0.0122270649272979,0.0299982035565542,0.111498760009353,0.179815161287158,0.015843072327186,0.0728736796738198,0.0253574204708688,0.0393151411991264,0.110828198051153,0.235901418644926,0.237586581436184,0.0898792510878031,0.0588238593425582,0.0277186984943851,-133.697464317456,-136.992899865905,-100.700403385196,-111.140506399767,-150.145556429206,-148.652866514731,-90.9510056219456,-92.8074195716142,"Control"
"8",0.764698521867963,0.780974157552129,0.493015510616461,0.39955920689705,0.510621316127166,0.610056557215293,0.499917229550692,0.487659090552729,3.10948864598311,2.69935608172082,1.19562929676357,0.596893921135018,0.735595759237046,0.805196769126024,1.13066208271857,0.777371037423017,0.758486993270221,0.750459442895383,0.892621529047751,0.817019532527686,0.635191550678927,0.759185784785684,0.963981694494503,0.92603249890438,0.190748759628369,0.195292611422106,0.01614742419094,0.0742743829649834,0.15380650784031,0.20238471229389,0.0172401965759986,0.0362496032914826,0.0507642471014098,0.0542479456825107,0.0912310467613087,0.10870608450733,0.211001941480763,0.0384295029204257,0.0187781089294981,0.0377178978041371,-132.14249679976,-138.338710219714,-99.0515121341812,-108.787252409562,-148.679647806843,-148.741271893524,-89.9927584239087,-94.4430029242596,"Control"
"9",0.640931512216962,0.648484607286103,0.491148318151109,0.418023209144319,0.593131580424962,0.685065336710424,0.450898694396709,0.487279669228569,1.36101481524057,1.60357647147905,1.13659291730212,0.627199843430201,0.357597249582288,1.93075868477553,0.655912933259285,0.633389397082446,0.691243587693108,0.795400437052956,0.92256226071454,0.779455672499216,0.619277314236275,0.730902841900695,0.911090929846595,0.890371462185488,0.229605104458122,0.193837242849394,0.0269609569668562,0.0672952868084676,0.150992734230135,0.193854683060379,0.0335910279779583,0.0844571912763412,0.0791513078487703,0.0107623200976496,0.0504767823186039,0.153249040692317,0.22972995153359,0.0752424750389254,0.0553180421754462,0.0251713465381712,-133.221268082114,-139.704369419376,-98.4210240116079,-108.409487530714,-149.111299434022,-149.67485653593,-91.5151417873105,-93.2827000521008,"Control"
"10",0.672322991105859,0.773638854214687,0.500699821253656,0.420538654130078,0.486594035956331,0.61829907134614,0.510312303983288,0.445778691381289,1.83688098555497,2.91805573337609,1.67250433411163,0.616233543665598,0.566294857928943,0.507886782033205,1.22161414674885,0.523111805124041,0.811588722772931,0.818853710031434,0.905715153832303,0.855671387084456,0.727486852892531,0.706107124190975,0.969257137317101,0.924647901355659,0.110132091256431,0.1502446902573,0.0317720668268908,0.0606605554462291,0.15294329905233,0.20615030825757,0.0198217127605256,0.0744969624240983,0.0782791859706379,0.0309015997112662,0.0625127793408057,0.083668057469315,0.119569848055139,0.0877425675514548,0.0109211499223731,0.000855136220242747,-132.672628653795,-139.535394563249,-102.251012364564,-108.918669298934,-149.026676151709,-149.185707317708,-91.2919026643059,-99.310151425394,"Control"
