"","X","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","sessid","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT"
"1",1,20069777,2,0.5,3,1,"BotR","BotL","surebet",0.25886,16.1246,36,"win",2,1,2,42,0,1,3.65358,0,0,36,2,0.25886,159527,2154,"2020-07-22 15:27:42.2416",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-24,36,0,0,"surebet",0,-0.681409506229134
"2",2,20069797,8,0.5,3,1,"BotR","BotL","surebet",0.324486,0.577513,36,"lose",4,1,4,42,0,1,8.15366,1,0,36,4,0.324486,159527,2154,"2020-07-22 15:28:19.5331",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,12,384,0,1,"lottery_win",1,-0.45545448932736
"3",3,20069837,16,0.5,3,1,"BotR","BotL","surebet",0.336621,43.5509,36,"win",5,1,5,42,3,0,3.38285,0,0,36,5,0.336621,159527,2154,"2020-07-22 15:29:11.9362",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,60,36,0,0,"surebet",0,-0.418739212841007
"4",4,20069867,2,0.5,3,1,"BotR","BotL","surebet",0.280119,30.7384,36,"lose",6,1,6,42,0,1,4.05969,0,0,36,6,0.280119,159527,2154,"2020-07-22 15:29:52.5545",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-24,36,0,0,"surebet",0,-0.602482368361095
"5",5,20069893,2,0.5,3,1,"BotR","BotL","surebet",0.269416,13.5016,36,"lose",7,1,7,42,0,1,4.48456,0,0,36,7,0.269416,159527,2154,"2020-07-22 15:30:16.5631",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-24,36,0,0,"surebet",0,-0.64144022779096
"6",6,20069905,4,0.5,3,1,"BotR","BotL","surebet",0.268654,1.32056,36,"lose",8,1,8,42,0,1,9.89328,0,0,36,8,0.268654,159527,2154,"2020-07-22 15:30:33.0659",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-12,36,0,0,"surebet",0,-0.644272574918319
"7",7,20069925,4,0.5,3,1,"BotR","BotL","surebet",0.285103,2.36189,36,"win",9,1,9,42,0,1,5.07511,0,0,36,9,0.285103,159527,2154,"2020-07-22 15:30:46.6199",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-12,36,0,0,"surebet",0,-0.584846362756521
"8",8,20070023,8,0.5,3,1,"BotR","BotL","surebet",0.460183,8.59916,36,"win",12,1,12,42,0,0,6.02955,1,0,36,12,0.460183,159527,2154,"2020-07-22 15:32:25.7295",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,12,24,0,1,"lottery_win",1,-0.106072644785145
"9",9,20070281,32,0.5,3,1,"BotR","BotL","surebet",0.351465,17.8831,36,"win",15,1,15,42,6,1,6.77886,0,0,36,15,0.351465,159527,2154,"2020-07-22 15:37:03.3304",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,156,36,0,0,"surebet",0,-0.37558674820792
"10",10,20070407,32,0.5,3,1,"BotR","BotL","lottery",0.393545,3.01618,0,"lose",18,1,18,42,0,1,3.25758,0,0,0,18,0.393545,159527,2154,"2020-07-22 15:39:02.8532",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,156,36,1,0,"surebet",0,-0.262501461601638
