"","X","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","sessid","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT"
"1",1,19945753,0,0.55,3,1,"BotR","BotL","surebet",0.454921,0.436811,24,"lose",2,1,2,48,0,1,6.75611,0,0,24,2,0.454921,158487,2152,"2020-07-16 14:06:37.3094",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,-0.892786048964104
"2",2,19945771,4,0.55,3,1,"BotR",NA,"lottery",0.594049,5.31295,0,"lose",3,1,3,48,0,2,7.8093,0,0,0,3,0.594049,158487,2152,"2020-07-16 14:06:58.0838",1,"rat",2,TRUE,FALSE,TRUE,FALSE,8,-6.4,24,1,0,"surebet",0,-0.625948018923732
"3",3,19945793,8,0.55,3,1,"BotR","BotL","surebet",0.825579,7.07854,24,"win",4,1,4,48,0,1,3.19292,0,0,24,4,0.825579,158487,2152,"2020-07-16 14:07:16.9165",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,0,1,"lottery_lose",-1,-0.29682486810934
"4",4,19945807,0,0.55,3,1,NA,"BotL","surebet",0.493134,12.3111,24,"win",5,1,5,48,0,1,3.27,0,0,24,5,0.493134,158487,2152,"2020-07-16 14:07:39.8696",1,"rat",2,TRUE,TRUE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,-0.812128884082462
"5",5,19945825,0,0.55,3,1,"BotR","BotL","surebet",1.61031,0.386877,24,"win",6,1,6,48,0,1,5.42835,1,0,24,6,1.61031,158487,2152,"2020-07-16 14:07:55.7553",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,0.371272159561021
"6",6,19945837,4,0.55,3,1,"BotR","BotL","surebet",0.317566,1.11509,24,"win",7,1,7,48,0,1,4.88794,0,0,24,7,0.317566,158487,2152,"2020-07-16 14:08:08.9802",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-1.25222415572094
"7",7,19945847,8,0.55,3,1,"BotR",NA,"lottery",0.534089,0.701066,64,"win",8,1,8,48,0,2,5.12198,0,0,64,8,0.534089,158487,2152,"2020-07-16 14:08:22.1847",1,"rat",2,TRUE,FALSE,TRUE,FALSE,8,11.2,24,1,0,"surebet",0,-0.732347334727109
"8",8,19945859,4,0.55,3,1,"BotR","BotL","surebet",0.507614,0.796904,24,"lose",9,1,9,48,0,1,3.6628,0,0,24,9,0.507614,158487,2152,"2020-07-16 14:08:34.1031",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,64,0,1,"lottery_win",1,-0.783188510234473
"9",9,19945875,32,0.55,3,1,NA,"BotL","surebet",2.0456,2.59305,24,"lose",10,1,10,48,0,2,6.44232,0,0,24,10,2.0456,158487,2152,"2020-07-16 14:08:52.9321",1,"rat",2,TRUE,TRUE,FALSE,FALSE,8,116.8,24,0,0,"surebet",0,0.610536597510352
"10",10,19945891,16,0.55,3,1,"BotR","BotL","lottery",3.25502,0.229554,128,"win",11,1,11,48,0,0,3.71183,0,0,128,11,3.25502,158487,2152,"2020-07-16 14:09:07.4516",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,1.07504387255041
