"","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","sessid","subjid","trialtime","region","volume","drug","concentration","infusion","infusion_bino","dosage","infusion_side","fof_ppc","is_side_choice","lottery_side","choice_side"
"1",24128553,16,0.5,0.630208,1,NA,"BotL","surebet",0.252987,51.59,7.5625,"lose",1,1,1,60,0,0,1,0,0,7.5625,1,0.252987,196759,2154,"2021-01-18 13:57:54.9214","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"2",24128585,0,0.5,0.630208,1,NA,"BotL","surebet",0.395113,2.6109,7.5625,"win",2,1,2,60,0,1,7.10282,0,0,7.5625,2,0.395113,196759,2154,"2021-01-18 13:58:12.1876","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"3",24128639,32,0.5,0.630208,1,NA,"BotL","surebet",0.498675,0.733399,7.5625,"win",4,1,4,60,0,2,5.44064,0,0,7.5625,4,0.498675,196759,2154,"2021-01-18 13:58:40.4996","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"4",24128657,8,0.5,0.630208,1,NA,"BotL","surebet",0.212682,0.62311,7.5625,"win",5,1,5,60,1,1,5.04276,0,0,7.5625,5,0.212682,196759,2154,"2021-01-18 13:58:55.8121","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"5",24128687,16,0.5,0.630208,1,"BotR","BotL","lottery",1.23172,0.606119,192,"win",6,1,6,60,0,1,5.82445,0,0,192,6,1.23172,196759,2154,"2021-01-18 13:59:10.7235","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","right"
"6",24128763,0,0.5,0.630208,1,"BotR",NA,"lottery",0.585459,4.22185,0,"win",8,1,8,60,0,1,6.92109,5,0,0,8,0.585459,196759,2154,"2021-01-18 13:59:51.2510","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","right"
"7",24129145,2,0.5,0.630208,1,"BotR","BotL","surebet",0.32246,211.732,7.5625,"lose",9,1,9,60,0,0,5.63729,0,0,7.5625,9,0.32246,196759,2154,"2021-01-18 14:03:34.4690","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"8",24129163,0,0.5,0.630208,1,"BotR","BotL","surebet",0.431665,0.756915,7.5625,"lose",10,1,10,60,0,1,6.91188,0,0,7.5625,10,0.431665,196759,2154,"2021-01-18 14:03:49.4797","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"9",24129209,0,0.5,0.630208,1,"BotR","BotL","surebet",0.301635,18.5282,7.5625,"win",11,1,11,60,0,1,7.16071,0,0,7.5625,11,0.301635,196759,2154,"2021-01-18 14:04:20.1711","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"10",24129275,8,0.5,0.630208,1,NA,"BotL","surebet",0.296295,1.06886,7.5625,"win",13,1,13,60,0,1,7.93144,1,0,7.5625,13,0.296295,196759,2154,"2021-01-18 14:05:11.3715","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"11",24129307,8,0.5,0.630208,1,"BotR",NA,"lottery",2.09522,0.38553,0,"lose",14,1,14,60,0,2,5.8388,1,0,0,14,2.09522,196759,2154,"2021-01-18 14:05:29.4879","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","right"
"12",24129325,2,0.5,0.630208,1,NA,"BotL","surebet",0.321855,1.17057,7.5625,"lose",15,1,15,60,0,1,3.62118,0,0,7.5625,15,0.321855,196759,2154,"2021-01-18 14:05:40.1047","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"13",24129349,2,0.5,0.630208,1,"BotR","BotL","surebet",0.303895,0.153384,7.5625,"lose",16,1,16,60,0,1,9.09072,0,0,7.5625,16,0.303895,196759,2154,"2021-01-18 14:05:54.0351","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"14",24129385,16,0.5,0.630208,1,"BotR","BotL","lottery",0.391051,2.99732,192,"win",17,1,17,60,0,1,9.56525,0,0,192,17,0.391051,196759,2154,"2021-01-18 14:06:15.1047","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","right"
"15",24129405,2,0.5,0.630208,1,"BotR","BotL","surebet",0.396784,0.469634,7.5625,"win",18,1,18,60,0,2,4.62454,0,0,7.5625,18,0.396784,196759,2154,"2021-01-18 14:06:27.4413","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"16",24129435,8,0.5,0.630208,1,"BotR","BotL","surebet",0.363098,0.065618,7.5625,"win",19,1,19,60,0,1,9.27988,0,0,7.5625,19,0.363098,196759,2154,"2021-01-18 14:06:45.6907","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","left"
"17",24129465,16,0.5,0.630208,1,"BotR",NA,"lottery",0.359519,2.0565,0,"lose",20,1,20,60,0,1,6.50057,0,0,0,20,0.359519,196759,2154,"2021-01-18 14:07:00.8316","Right PPC",0,"control",0,"before",0,"0","R","control",FALSE,"BotR","right"
