"","sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
"1",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20729841,8,0.55,3,1,"BotR","BotL","surebet",0.344615,0.598565,24,"lose",3,1,3,48,0,1,6.69656,0,0,24,3,0.344615,2152,"2020-08-26 13:54:43.7929",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,0,0,"surebet",0,-0.775895516295198,"BotR",11.2,0
"2",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20729859,0,0.55,3,1,"BotR","BotL","lottery",0.624813,3.17433,0,"win",4,1,4,48,0,1,6.39514,0,0,0,4,0.624813,2152,"2020-08-26 13:54:58.8097",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,1,0,"surebet",0,-0.18087096320349,"BotR",-24,1
"3",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20729879,32,0.55,3,1,"BotR","BotL","lottery",0.41963,3.18175,0,"lose",5,1,5,48,0,1,5.56827,0,0,0,5,0.41963,2152,"2020-08-26 13:55:14.2013",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,0,1,1,"lottery_lose",-1,-0.578949997540774,"BotR",116.8,1
"4",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20729903,4,0.55,3,1,"BotR","BotL","surebet",0.34689,6.87642,24,"lose",6,1,6,48,0,0,7.5536,0,0,24,6,0.34689,2152,"2020-08-26 13:55:35.9348",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,0,0,1,"lottery_lose",-1,-0.769315641361661,"BotR",-6.4,0
"5",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20729919,2,0.55,3,1,"BotR","BotL","surebet",0.384689,0.569492,24,"win",7,1,7,48,0,0,6.51747,0,0,24,7,0.384689,2152,"2020-08-26 13:55:50.4226",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.665888152530583,"BotR",-15.2,0
"6",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20729929,8,0.55,3,1,"BotR","BotL","lottery",0.419492,0.219787,64,"win",8,1,8,48,0,1,4.0588,0,0,64,8,0.419492,2152,"2020-08-26 13:56:02.1013",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,1,0,"surebet",0,-0.579278912767033,"BotR",11.2,1
"7",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20729993,8,0.55,3,1,"BotR","BotL","lottery",0.305055,15.5148,64,"win",11,1,11,48,0,0,4.93889,0,0,64,11,0.305055,2152,"2020-08-26 13:57:03.1273",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,1,0,"surebet",0,-0.897831279951492,"BotR",11.2,1
"8",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20730011,0,0.55,3,1,"BotR","BotL","surebet",0.448697,1.9814,24,"win",12,1,12,48,0,1,5.81445,0,0,24,12,0.448697,2152,"2020-08-26 13:57:18.3342",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,64,0,1,"lottery_win",1,-0.511975541192779,"BotR",-24,0
"9",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20730025,2,0.55,3,1,"BotR","BotL","lottery",0.456944,1.5515,16,"win",13,1,13,48,0,0,5.59576,0,0,16,13,0.456944,2152,"2020-08-26 13:57:30.2142",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,1,0,"surebet",0,-0.493762523078083,"BotR",-15.2,1
"10",166205,"control",0,0,"control",0,"Bilateral FOF","0","B","control",20730093,4,0.55,3,1,"BotR","BotL","lottery",0.388183,0.122334,32,"win",16,1,16,48,0,1,6.16122,1,0,32,16,0.388183,2152,"2020-08-26 13:58:30.0390",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,128,1,1,"lottery_win",1,-0.656846490254488,"BotR",-6.4,1
