"","sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
"1",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866475,16,0.55,3,1,"BotR","BotL","lottery",1.53338,4.43308,0,"lose",3,1,3,48,0,1,4.94561,0,0,0,3,1.53338,2152,"2020-09-02 13:59:27.6194",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,0.834802845462654,"BotR",46.4,1
"2",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866503,32,0.55,3,1,"BotR","BotL","lottery",0.267449,1.8864,256,"win",5,1,5,48,0,1,4.9555,0,0,256,5,0.267449,2152,"2020-09-02 13:59:57.3361",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,0,1,1,"lottery_lose",-1,-0.911497988712272,"BotR",116.8,1
"3",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866527,8,0.55,3,1,"BotR","BotL","surebet",0.477007,5.61273,24,"win",6,1,6,48,0,1,6.0464,1,0,24,6,0.477007,2152,"2020-09-02 14:00:16.5291",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,256,0,1,"lottery_win",1,-0.332895716832828,"BotR",11.2,0
"4",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866539,16,0.55,3,1,"BotR","BotL","lottery",0.434545,0.413635,0,"lose",7,1,7,48,0,2,3.49173,0,0,0,7,0.434545,2152,"2020-09-02 14:00:27.1852",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,-0.426127376004423,"BotR",46.4,1
"5",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866565,8,0.55,3,1,"BotR","BotL","lottery",0.399438,0.244037,64,"win",8,1,8,48,0,1,6.75644,0,0,64,8,0.399438,2152,"2020-09-02 14:00:41.4318",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,1,1,"lottery_lose",-1,-0.510368323495897,"BotR",11.2,1
"6",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866601,4,0.55,3,1,"BotR","BotL","surebet",2.58615,1.1101,24,"lose",10,1,10,48,0,3,4.48096,0,0,24,10,2.58615,2152,"2020-09-02 14:01:11.0227",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,0,0,1,"lottery_lose",-1,1.35749867962407,"BotR",-6.4,0
"7",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866625,8,0.55,3,1,"BotR","BotL","lottery",0.401896,0.156122,64,"win",11,1,11,48,0,1,4.3448,1,0,64,11,0.401896,2152,"2020-09-02 14:01:24.1796",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,1,0,"surebet",0,-0.504233533984834,"BotR",11.2,1
"8",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866655,4,0.55,3,1,"BotR","BotL","lottery",0.674529,0.367298,32,"win",13,1,13,48,0,3,3.85758,0,0,32,13,0.674529,2152,"2020-09-02 14:01:49.2489",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,16,1,1,"lottery_win",1,0.0135877868686289,"BotR",-6.4,1
"9",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866675,16,0.55,3,1,"BotR","BotL","lottery",0.297589,0.206598,128,"win",14,1,14,48,0,1,7.29271,0,0,128,14,0.297589,2152,"2020-09-02 14:02:04.1001",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,32,1,1,"lottery_win",1,-0.804713542755682,"BotR",46.4,1
"10",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866693,0,0.55,3,1,"BotR","BotL","surebet",0.753676,0.450229,24,"win",15,1,15,48,0,1,6.51813,0,0,24,15,0.753676,2152,"2020-09-02 14:02:18.7206",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,128,0,1,"lottery_win",1,0.124535684768207,"BotR",-24,0
"11",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866715,0,0.55,3,1,"BotR","BotL","lottery",0.483651,2.89707,0,"win",17,1,17,48,0,0,3.7884,0,0,0,17,0.483651,2152,"2020-09-02 14:02:45.1604",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,0,1,1,"lottery_lose",-1,-0.319063310428608,"BotR",-24,1
"12",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866731,2,0.55,3,1,"BotR","BotL","lottery",1.1073,0.181657,0,"lose",18,1,18,48,0,2,6.81662,1,0,0,18,1.1073,2152,"2020-09-02 14:03:00.5849",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,0,1,1,"lottery_lose",-1,0.50925301603816,"BotR",-15.2,1
"13",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866745,8,0.55,3,1,"BotR","BotL","surebet",0.684259,0.122401,24,"lose",19,1,19,48,0,1,6.35463,0,0,24,19,0.684259,2152,"2020-09-02 14:03:14.4906",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,0,1,"lottery_lose",-1,0.0279096182557069,"BotR",11.2,0
"14",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866789,2,0.55,3,1,"BotR","BotL","surebet",0.386554,0.14931,24,"win",22,1,22,48,0,1,5.15,0,0,24,22,0.386554,2152,"2020-09-02 14:03:52.1774",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.543155309003146,"BotR",-15.2,0
"15",167603,"control",0,0,"control",0,"Bilateral PPC","0","B","control",20866805,32,0.55,3,1,"BotR","BotL","lottery",0.32611,1.37121,0,"lose",23,1,23,48,0,1,3.96569,0,0,0,23,0.32611,2152,"2020-09-02 14:04:04.5926",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,1,0,"surebet",0,-0.713192134900755,"BotR",116.8,1
