"","sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
"1",194283,"control",0,0,"control",0,"Control","0","L","control",23823347,4,0.5,3,1,"BotR","BotL","surebet",0.95984,20.1621,36,"lose",6,1,6,60,0,1,5.70291,0,0,36,6,0.95984,2154,"2021-01-06 14:43:25.8767",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-12,0,0,9,"surebet",0,0.521124590886332,"BotR",-12,0
"2",194283,"control",0,0,"control",0,"Control","0","L","control",23823365,4,0.5,3,1,"BotR","BotL","surebet",0.26206,10.3524,36,"lose",7,1,7,60,0,0,9.57675,0,0,36,7,0.26206,2154,"2021-01-06 14:43:52.8123",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-12,36,0,0,"surebet",0,-0.777068527842011,"BotR",-12,0
"3",194283,"control",0,0,"control",0,"Control","0","L","control",23823381,16,0.5,3,1,"BotR","BotL","surebet",0.242688,0.743318,36,"win",8,1,8,60,0,0,4.84781,1,0,36,8,0.242688,2154,"2021-01-06 14:44:06.9558",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,60,36,0,0,"surebet",0,-0.853865345266003,"BotR",60,0
"4",194283,"control",0,0,"control",0,"Control","0","L","control",23823397,0,0.5,3,1,"BotR","BotL","surebet",0.267786,0.264062,36,"lose",9,1,9,60,0,1,3.50016,0,0,36,9,0.267786,2154,"2021-01-06 14:44:18.1056",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-36,36,0,0,"surebet",0,-0.755453858947179,"BotR",-36,0
"5",194283,"control",0,0,"control",0,"Control","0","L","control",23823409,0,0.5,3,1,"BotR","BotL","surebet",0.306843,0.875859,36,"lose",10,1,10,60,0,1,3.91624,1,0,36,10,0.306843,2154,"2021-01-06 14:44:29.9692",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-36,36,0,0,"surebet",0,-0.619305796892632,"BotR",-36,0
"6",194283,"control",0,0,"control",0,"Control","0","L","control",23823431,0,0.5,3,1,"BotR","BotL","surebet",0.31065,1.76193,36,"win",11,1,11,60,0,1,7.32603,1,0,36,11,0.31065,2154,"2021-01-06 14:44:53.1254",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-36,36,0,0,"surebet",0,-0.606975136508748,"BotR",-36,0
"7",194283,"control",0,0,"control",0,"Control","0","L","control",23823445,32,0.5,3,1,"BotR","BotL","lottery",0.394882,0.675225,0,"lose",12,1,12,60,0,0,3.80451,0,0,0,12,0.394882,2154,"2021-01-06 14:45:04.2556",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,156,36,1,0,"surebet",0,-0.367055026924487,"BotR",156,1
"8",194283,"control",0,0,"control",0,"Control","0","L","control",23823467,16,0.5,3,1,"BotR","BotL","lottery",0.492591,2.99991,192,"win",13,1,13,60,0,1,8.55111,0,0,192,13,0.492591,2154,"2021-01-06 14:45:23.5231",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,60,0,1,1,"lottery_lose",-1,-0.145962797900868,"BotR",60,1
"9",194283,"control",0,0,"control",0,"Control","0","L","control",23823525,2,0.5,3,1,"BotR","BotL","surebet",0.30213,0.842022,36,"win",15,1,15,60,0,0,5.17041,0,0,36,15,0.30213,2154,"2021-01-06 14:46:17.6101",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-24,36,0,0,"surebet",0,-0.634784624690288,"BotR",-24,0
"10",194283,"control",0,0,"control",0,"Control","0","L","control",23823545,32,0.5,3,1,"BotR","BotL","lottery",0.752948,0.647912,384,"win",16,1,16,60,0,0,7.95885,1,0,384,16,0.752948,2154,"2021-01-06 14:46:35.5586",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,156,36,1,0,"surebet",0,0.278354155291977,"BotR",156,1
"11",194283,"control",0,0,"control",0,"Control","0","L","control",23823565,4,0.5,3,1,"BotR","BotL","surebet",0.312979,2.0202,36,"win",17,1,17,60,0,1,6.95102,0,0,36,17,0.312979,2154,"2021-01-06 14:46:51.9360",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-12,384,0,1,"lottery_win",1,-0.599505917380867,"BotR",-12,0
"12",194283,"control",0,0,"control",0,"Control","0","L","control",23823779,32,0.5,3,1,"BotR","BotL","lottery",0.310366,1.53287,0,"lose",19,1,19,60,0,0,6.79822,0,0,0,19,0.310366,2154,"2021-01-06 14:49:55.1717",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,156,0,1,1,"lottery_lose",-1,-0.607889766791376,"BotR",156,1
"13",194283,"control",0,0,"control",0,"Control","0","L","control",23823923,32,0.5,3,1,"BotR","BotL","lottery",0.765227,21.7598,0,"lose",22,1,22,60,0,1,3.84267,0,0,0,22,0.765227,2154,"2021-01-06 14:51:50.4753",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,156,0,1,9,"surebet",0,0.294530508817989,"BotR",156,1
"14",194283,"control",0,0,"control",0,"Control","0","L","control",23824075,2,0.5,3,1,"BotR","BotL","surebet",0.421781,0.907321,36,"lose",26,1,26,60,0,0,3.23233,4,0,36,26,0.421781,2154,"2021-01-06 14:53:43.9893",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-24,0,0,9,"surebet",0,-0.30115579103338,"BotR",-24,0
"15",194283,"control",0,0,"control",0,"Control","0","L","control",23824193,8,0.5,3,1,"BotR","BotL","surebet",0.327256,5.46853,36,"win",29,1,29,60,0,1,5.72946,0,0,36,29,0.327256,2154,"2021-01-06 14:55:32.8771",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,12,0,0,9,"surebet",0,-0.554899273789948,"BotR",12,0
"16",194283,"control",0,0,"control",0,"Control","0","L","control",23824225,32,0.5,3,1,"BotR","BotL","lottery",0.560627,3.88101,0,"lose",31,1,31,60,0,0,3.81147,0,0,0,31,0.560627,2154,"2021-01-06 14:56:05.6746",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,156,384,1,1,"lottery_win",1,-0.0165862127647076,"BotR",156,1
"17",194283,"control",0,0,"control",0,"Control","0","L","control",23824651,4,0.5,3,1,"BotR","BotL","surebet",0.425327,28.8883,36,"lose",33,1,34,60,0,0,9.09683,0,0,36,34,0.425327,2154,"2021-01-06 15:02:55.5678",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-12,0,0,9,"surebet",0,-0.292783728174818,"BotR",-12,0
"18",194283,"control",0,0,"control",0,"Control","0","L","control",23824659,16,0.5,3,1,"BotR","BotL","lottery",0.346223,0.24168,0,"lose",34,1,35,60,0,0,3.96813,0,0,0,35,0.346223,2154,"2021-01-06 15:03:06.3588",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,60,36,1,0,"surebet",0,-0.498558936896721,"BotR",60,1
"19",194283,"control",0,0,"control",0,"Control","0","L","control",23824671,16,0.5,3,1,"BotR","BotL","lottery",0.729526,0.153578,0,"lose",35,1,36,60,0,1,3.93631,0,0,0,36,0.729526,2154,"2021-01-06 15:03:17.5094",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,60,0,1,1,"lottery_lose",-1,0.246752995159167,"BotR",60,1
"20",194283,"control",0,0,"control",0,"Control","0","L","control",23824687,8,0.5,3,1,"BotR","BotL","surebet",0.369963,5.25118,36,"win",36,1,37,60,0,0,3.96174,0,0,36,37,0.369963,2154,"2021-01-06 15:03:34.2798",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,12,0,0,1,"lottery_lose",-1,-0.432239012380514,"BotR",12,0
"21",194283,"control",0,0,"control",0,"Control","0","L","control",23824797,0,0.5,3,1,"BotR","BotL","surebet",0.318214,0.786219,36,"win",39,1,40,60,0,1,4.95343,0,0,36,40,0.318214,2154,"2021-01-06 15:05:37.7914",1,"rat",2,FALSE,FALSE,FALSE,FALSE,12,-36,36,0,0,"surebet",0,-0.582917900596767,"BotR",-36,0
