"","sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
"1",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945753,0,0.55,3,1,"BotR","BotL","surebet",0.454921,0.436811,24,"lose",2,1,2,48,0,1,6.75611,0,0,24,2,0.454921,2152,"2020-07-16 14:06:37.3094",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,-0.546159843104748,"BotR",-24,0
"2",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945793,8,0.55,3,1,"BotR","BotL","surebet",0.825579,7.07854,24,"win",4,1,4,48,0,1,3.19292,0,0,24,4,0.825579,2152,"2020-07-16 14:07:16.9165",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,0,1,"lottery_lose",-1,0.0498013377500162,"BotR",11.2,0
"3",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945825,0,0.55,3,1,"BotR","BotL","surebet",1.61031,0.386877,24,"win",6,1,6,48,0,1,5.42835,1,0,24,6,1.61031,2152,"2020-07-16 14:07:55.7553",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,0.717898365420377,"BotR",-24,0
"4",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945837,4,0.55,3,1,"BotR","BotL","surebet",0.317566,1.11509,24,"win",7,1,7,48,0,1,4.88794,0,0,24,7,0.317566,2152,"2020-07-16 14:08:08.9802",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.905597949861584,"BotR",-6.4,0
"5",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945859,4,0.55,3,1,"BotR","BotL","surebet",0.507614,0.796904,24,"lose",9,1,9,48,0,1,3.6628,0,0,24,9,0.507614,2152,"2020-07-16 14:08:34.1031",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,64,0,1,"lottery_win",1,-0.436562304375117,"BotR",-6.4,0
"6",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945891,16,0.55,3,1,"BotR","BotL","lottery",3.25502,0.229554,128,"win",11,1,11,48,0,0,3.71183,0,0,128,11,3.25502,2152,"2020-07-16 14:09:07.4516",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,1,0,"surebet",0,1.42167007840977,"BotR",46.4,1
"7",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945905,0,0.55,3,1,"BotR","BotL","surebet",0.727735,0.787353,24,"lose",12,1,12,48,0,2,4.10687,0,0,24,12,0.727735,2152,"2020-07-16 14:09:20.3217",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,128,0,1,"lottery_win",1,-0.0763466496676757,"BotR",-24,0
"8",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945921,32,0.55,3,1,"BotR","BotL","surebet",0.728269,0.231309,24,"lose",13,1,13,48,0,1,3.26322,0,0,24,13,0.728269,2152,"2020-07-16 14:09:36.7888",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,0,0,"surebet",0,-0.0756131351664202,"BotR",116.8,0
"9",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945959,32,0.55,3,1,"BotR","BotL","lottery",1.34851,0.817118,256,"win",15,1,15,48,0,1,5.45335,0,0,256,15,1.34851,2152,"2020-07-16 14:10:12.3554",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,1,0,"surebet",0,0.540471937592035,"BotR",116.8,1
"10",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19945977,16,0.55,3,1,"BotR","BotL","lottery",0.418743,7.6883,128,"win",16,1,16,48,0,1,3.4619,0,0,128,16,0.418743,2152,"2020-07-16 14:10:31.4457",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,256,1,1,"lottery_win",1,-0.629026254025624,"BotR",46.4,1
"11",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946007,8,0.55,3,1,"BotR","BotL","surebet",0.5145,0.151341,24,"win",18,1,18,48,0,1,4.17718,0,0,24,18,0.5145,2152,"2020-07-16 14:11:01.2124",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,0,0,1,"lottery_lose",-1,-0.423088065333164,"BotR",11.2,0
"12",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946023,2,0.55,3,1,"BotR","BotL","surebet",0.554515,0.298492,24,"win",19,1,19,48,0,1,5.74303,0,0,24,19,0.554515,2152,"2020-07-16 14:11:14.7032",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.348189762785074,"BotR",-15.2,0
"13",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946041,2,0.55,3,1,"BotR","BotL","surebet",0.537203,3.50626,24,"win",20,1,20,48,0,1,5.87822,0,0,24,20,0.537203,2152,"2020-07-16 14:11:32.5387",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.379907571461494,"BotR",-15.2,0
"14",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946079,16,0.55,3,1,"BotR","BotL","lottery",3.04771,0.826897,128,"win",22,1,22,48,0,6,3.7021,0,0,128,22,3.04771,2152,"2020-07-16 14:12:07.6205",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,0,1,1,"lottery_lose",-1,1.3558621473158,"BotR",46.4,1
"15",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946095,16,0.55,3,1,"BotR","BotL","lottery",0.305084,2.52565,128,"win",23,1,23,48,0,0,3.12417,0,0,128,23,0.305084,2152,"2020-07-16 14:12:20.6673",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,128,1,1,"lottery_win",1,-0.945696472082118,"BotR",46.4,1
"16",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946137,8,0.55,3,1,"BotR","BotL","lottery",0.288037,4.9879,64,"win",26,1,26,48,0,1,3.60088,0,0,64,26,0.288037,2152,"2020-07-16 14:13:08.4467",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,1,0,"surebet",0,-1.00319467650095,"BotR",11.2,1
"17",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946149,2,0.55,3,1,"BotR","BotL","surebet",1.07509,1.14956,24,"lose",27,1,27,48,0,1,5.84768,0,0,24,27,1.07509,2152,"2020-07-16 14:13:24.4679",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,64,0,1,"lottery_win",1,0.313876037380326,"BotR",-15.2,0
"18",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946169,8,0.55,3,1,"BotR","BotL","surebet",1.29115,0.197744,24,"lose",28,1,28,48,0,3,3.54606,0,0,24,28,1.29115,2152,"2020-07-16 14:13:36.4621",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,0,0,"surebet",0,0.497004952490729,"BotR",11.2,0
"19",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946179,8,0.55,3,1,"BotR","BotL","lottery",0.381428,0.729598,64,"win",29,1,29,48,0,1,7.28238,0,0,64,29,0.381428,2152,"2020-07-16 14:13:53.0565",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,1,0,"surebet",0,-0.72236151639675,"BotR",11.2,1
"20",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946197,16,0.55,3,1,"BotR","BotL","lottery",0.305443,3.29528,128,"win",30,1,30,48,0,1,5.05072,0,0,128,30,0.305443,2152,"2020-07-16 14:14:08.8856",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,64,1,1,"lottery_win",1,-0.944520438781785,"BotR",46.4,1
"21",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946209,4,0.55,3,1,"BotR","BotL","lottery",0.689258,0.539661,0,"lose",31,1,31,48,0,1,5.95548,0,0,0,31,0.689258,2152,"2020-07-16 14:14:25.6099",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,128,1,1,"lottery_win",1,-0.130667963951715,"BotR",-6.4,1
"22",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946227,32,0.55,3,1,"BotR","BotL","lottery",2.10238,1.35872,256,"win",32,1,32,48,0,4,5.24897,0,0,256,32,2.10238,2152,"2020-07-16 14:14:41.9832",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,0,1,1,"lottery_lose",-1,0.984541694700179,"BotR",116.8,1
"23",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946249,0,0.55,3,1,"BotR","BotL","surebet",0.473275,0.384209,24,"lose",34,1,34,48,0,1,3.58614,0,0,24,34,0.473275,2152,"2020-07-16 14:15:07.5047",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,0,0,1,"lottery_lose",-1,-0.506607005711295,"BotR",-24,0
"24",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946263,2,0.55,3,1,"BotR","BotL","surebet",0.695908,0.390752,24,"lose",35,1,35,48,0,1,7.19955,0,0,24,35,0.695908,2152,"2020-07-16 14:15:22.6743",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.121066152917958,"BotR",-15.2,0
"25",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946273,2,0.55,3,1,"BotR","BotL","lottery",0.371838,0.721292,16,"win",36,1,36,48,0,1,7.16127,0,0,16,36,0.371838,2152,"2020-07-16 14:15:37.7030",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,1,0,"surebet",0,-0.747825345055729,"BotR",-15.2,1
"26",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946293,4,0.55,3,1,"BotR","BotL","surebet",0.444529,2.2423,24,"win",37,1,37,48,0,1,5.52673,0,0,24,37,0.444529,2152,"2020-07-16 14:15:54.8531",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,16,0,1,"lottery_win",1,-0.569268325936697,"BotR",-6.4,0
"27",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946305,0,0.55,3,1,"BotR","BotL","surebet",0.561897,0.162209,24,"win",38,1,38,48,0,1,4.87775,0,0,24,38,0.561897,2152,"2020-07-16 14:16:07.3310",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,-0.334965061531666,"BotR",-24,0
"28",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946337,32,0.55,3,1,"BotR","BotL","lottery",3.59363,1.19127,0,"lose",40,1,40,48,0,3,5.13169,0,0,0,40,3.59363,2152,"2020-07-16 14:16:37.9988",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,128,1,1,"lottery_win",1,1.52063449207654,"BotR",116.8,1
"29",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946347,32,0.55,3,1,"BotR","BotL","lottery",0.428612,0.20328,0,"lose",41,1,41,48,0,1,3.53265,0,0,0,41,0.428612,2152,"2020-07-16 14:16:50.3213",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,0,1,1,"lottery_lose",-1,-0.605731539826275,"BotR",116.8,1
"30",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946365,32,0.55,3,1,"BotR","BotL","surebet",1.88739,2.68292,24,"win",42,1,42,48,0,1,6.80925,0,0,24,42,1.88739,2152,"2020-07-16 14:17:08.8467",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,0,0,1,"lottery_lose",-1,0.876666580671979,"BotR",116.8,0
"31",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946381,2,0.55,3,1,"BotR","BotL","surebet",0.418526,0.271963,24,"win",43,1,43,48,0,1,4.24885,0,0,24,43,0.418526,2152,"2020-07-16 14:17:20.6605",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-15.2,24,0,0,"surebet",0,-0.629544605964747,"BotR",-15.2,0
"32",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946405,8,0.55,3,1,"BotR","BotL","lottery",1.97921,0.190714,64,"win",45,1,45,48,0,5,3.21943,0,0,64,45,1.97921,2152,"2020-07-16 14:17:52.6218",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,1,0,"surebet",0,0.924169433564674,"BotR",11.2,1
"33",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946441,16,0.55,3,1,"BotR","BotL","surebet",0.494537,0.996438,24,"lose",47,1,47,48,0,1,5.95159,1,0,24,47,0.494537,2152,"2020-07-16 14:18:30.5421",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,24,0,0,"surebet",0,-0.462661649290017,"BotR",46.4,0
"34",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946449,4,0.55,3,1,"BotR","BotL","surebet",0.778506,0.443481,24,"lose",48,1,48,48,0,1,3.44528,0,0,24,48,0.778506,2152,"2020-07-16 14:18:42.2149",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,-0.0089069222338209,"BotR",-6.4,0
"35",158487,"control",0,0,"control",0,"Left FOF","0","L","control",19946457,32,0.55,3,1,"BotR","BotL","surebet",0.583691,0.525681,24,"lose",1,2,49,48,0,1,3.78587,0,0,24,49,0.583691,2152,"2020-07-16 14:18:57.4070",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,0,0,"surebet",0,-0.296911887395957,"BotR",116.8,0
