"","sessiondate","subjid","days_post_surgery","sessid","mean_chose_lott","event","region","sb_change","area","side"
"1","2020-07-01",2152,10,155529,0.553571428571429,NA,NA,NA,"control","control"
"2","2020-07-02",2152,11,155733,0.547368421052632,NA,NA,NA,"control","control"
"3","2020-07-03",2152,12,155941,0.558333333333333,NA,NA,NA,"control","control"
"4","2020-07-04",2152,13,156107,0.615384615384615,NA,NA,NA,"control","control"
"5","2020-07-05",2152,14,156305,0.604651162790698,NA,NA,NA,"control","control"
"6","2020-07-06",2152,15,156543,0.58974358974359,NA,NA,NA,"control","control"
"7","2020-07-07",2152,16,156765,0.5,NA,NA,NA,"control","control"
"8","2020-07-08",2152,17,156985,0.537313432835821,NA,NA,NA,"control","control"
"9","2020-07-09",2152,18,157175,0.493333333333333,NA,NA,NA,"control","control"
"10","2020-07-11",2152,20,157555,0.484848484848485,NA,NA,NA,"control","control"
"11","2020-07-12",2152,21,157743,0.597402597402597,NA,NA,NA,"control","control"
"12","2020-07-13",2152,22,157913,0.526881720430108,NA,NA,NA,"control","control"
"13","2020-07-14",2152,23,158121,0.448,NA,NA,NA,"control","control"
"14","2020-07-15",2152,24,158303,0.479166666666667,NA,NA,NA,"control","control"
"15","2020-07-16",2152,25,158487,0.444444444444444,NA,NA,NA,"control","control"
"16","2020-07-17",2152,26,158625,1,"Left FOF 300ng","left FOF",NA,"FOF","Left"
"17","2020-07-18",2152,27,158809,0.477477477477477,NA,NA,NA,"control","control"
"18","2020-07-19",2152,28,158995,0.587628865979381,NA,NA,NA,"control","control"
"19","2020-07-20",2152,29,159175,0.525423728813559,NA,NA,NA,"control","control"
"20","2020-07-21",2152,30,159355,0.49,NA,NA,NA,"control","control"
"21","2020-07-22",2152,31,159529,0.570093457943925,NA,NA,NA,"control","control"
"22","2020-07-23",2152,32,159687,1,"Right FOF 300ng","right FOF",NA,"FOF","Right"
"23","2020-07-24",2152,33,159885,0.533333333333333,NA,NA,NA,"control","control"
"24","2020-07-25",2152,34,160067,0.555555555555556,NA,NA,NA,"control","control"
"25","2020-07-26",2152,35,160241,0.58,NA,NA,NA,"control","control"
"26","2020-07-27",2152,36,160417,0.586666666666667,NA,NA,NA,"control","control"
"27","2020-07-28",2152,37,160591,0.535353535353535,NA,NA,NA,"control","control"
"28","2020-07-29",2152,38,160785,0.615384615384615,NA,NA,NA,"control","control"
"29","2020-07-30",2152,39,160969,0.5,"Left FOF 300ng","left FOF",NA,"FOF","Left"
"30","2020-07-31",2152,40,161149,0.555555555555556,NA,NA,NA,"control","control"
"31","2020-08-01",2152,41,161337,0.605504587155963,NA,NA,NA,"control","control"
"32","2020-08-02",2152,42,161527,0.586206896551724,NA,NA,NA,"control","control"
"33","2020-08-03",2152,43,161715,0.59375,NA,NA,NA,"control","control"
"34","2020-08-04",2152,44,161903,0.541176470588235,NA,NA,NA,"control","control"
"35","2020-08-05",2152,45,162091,0.44047619047619,NA,NA,NA,"control","control"
"36","2020-08-06",2152,46,162323,0.574468085106383,"Right FOF 300ng","right FOF",NA,"FOF","Right"
"37","2020-08-07",2152,47,162513,0.656862745098039,NA,NA,NA,"control","control"
"38","2020-08-08",2152,48,162679,0.568807339449541,NA,NA,NA,"control","control"
"39","2020-08-09",2152,49,162869,0.577319587628866,NA,NA,NA,"control","control"
"40","2020-08-10",2152,50,163093,0.551401869158878,NA,NA,NA,"control","control"
"41","2020-08-11",2152,51,163279,0.580357142857143,NA,NA,NA,"control","control"
"42","2020-08-12",2152,52,163509,0.684210526315789,NA,NA,NA,"control","control"
"43","2020-08-13",2152,53,163745,0.515151515151515,"Left PPC 300ng","left PPC",NA,"PPC","Left"
"44","2020-08-14",2152,54,163945,0.549668874172185,NA,NA,NA,"control","control"
"45","2020-08-15",2152,55,164119,0.585034013605442,NA,NA,NA,"control","control"
"46","2020-08-16",2152,56,164293,0.555555555555556,NA,NA,NA,"control","control"
"47","2020-08-17",2152,57,164497,0.479591836734694,NA,NA,NA,"control","control"
"48","2020-08-18",2152,58,164663,0.5078125,NA,NA,NA,"control","control"
"49","2020-08-19",2152,59,164843,0.404761904761905,NA,NA,NA,"control","control"
"50","2020-08-20",2152,60,165015,0.15,"Right PPC 300ng","right PPC",NA,"PPC","Right"
"51","2020-08-21",2152,61,165187,0.48,NA,NA,NA,"control","control"
"52","2020-08-22",2152,62,165401,0.463768115942029,NA,NA,NA,"control","control"
"53","2020-08-23",2152,63,165589,0.5,NA,NA,NA,"control","control"
"54","2020-08-24",2152,64,165793,0.509433962264151,NA,NA,NA,"control","control"
"55","2020-08-25",2152,65,165965,0.611764705882353,NA,NA,NA,"control","control"
"56","2020-08-26",2152,66,166205,0.567901234567901,NA,NA,NA,"control","control"
"57","2020-08-27",2152,67,166409,0.310344827586207,"Bilateral FOF 300ng","bilateral FOF",NA,"FOF","Both"
"58","2020-08-28",2152,68,166613,0.518518518518518,NA,NA,NA,"control","control"
"59","2020-08-29",2152,69,166811,0.65625,NA,NA,NA,"control","control"
"60","2020-08-30",2152,70,167007,0.495495495495495,NA,NA,NA,"control","control"
"61","2020-08-31",2152,71,167203,0.466666666666667,NA,NA,NA,"control","control"
"62","2020-09-01",2152,72,167399,0.504761904761905,NA,NA,NA,"control","control"
"63","2020-09-02",2152,73,167603,0.463636363636364,NA,NA,NA,"control","control"
"64","2020-09-03",2152,74,167823,0.441176470588235,"Bilateral PPC 300ng","Bilateral PPC",NA,"PPC","Both"
"65","2020-09-04",2152,75,168039,0.481132075471698,NA,NA,NA,"control","control"
"66","2020-09-05",2152,76,168223,0.617283950617284,NA,NA,NA,"control","control"
"67","2020-09-06",2152,77,168443,0.589473684210526,NA,NA,NA,"control","control"
"68","2020-09-07",2152,78,168663,0.534653465346535,NA,NA,NA,"control","control"
"69","2020-09-08",2152,79,168879,0.515151515151515,NA,NA,NA,"control","control"
"70","2020-09-09",2152,80,169101,0.466666666666667,NA,NA,NA,"control","control"
"71","2020-09-10",2152,81,169317,0.43859649122807,"Left FOF 300ng","Left FOF",NA,"FOF","Left"
"72","2020-09-11",2152,82,169555,0.508620689655172,NA,NA,NA,"control","control"
"73","2020-09-12",2152,83,169773,0.412280701754386,NA,NA,NA,"control","control"
"74","2020-09-13",2152,84,169999,0.448598130841121,NA,NA,NA,"control","control"
"75","2020-09-14",2152,85,170215,0.552631578947368,NA,NA,NA,"control","control"
"76","2020-09-15",2152,86,170437,0.417391304347826,NA,NA,NA,"control","control"
"77","2020-09-16",2152,87,170661,0.48695652173913,NA,NA,NA,"control","control"
"78","2020-09-17",2152,88,170893,0.384,"Left PPC 300ng","Left PPC",NA,"PPC","Left"
"79","2020-09-18",2152,89,171119,0.465648854961832,NA,NA,NA,"control","control"
"80","2020-09-19",2152,90,171341,0.516666666666667,NA,NA,NA,"control","control"
"81","2020-09-20",2152,91,171563,0.561151079136691,NA,NA,NA,"control","control"
"82","2020-09-21",2152,92,171785,0.484375,NA,NA,NA,"control","control"
"83","2020-09-22",2152,93,172009,0.521428571428571,NA,NA,NA,"control","control"
"84","2020-09-23",2152,94,172237,0.515151515151515,NA,NA,NA,"control","control"
"85","2020-09-24",2152,95,172461,0.807017543859649,"Right FOF 300ng","Right FOF",NA,"FOF","Right"
"86","2020-09-25",2152,96,172697,0.426966292134831,NA,NA,NA,"control","control"
"87","2020-09-26",2152,97,172919,0.547619047619048,NA,NA,NA,"control","control"
"88","2020-09-27",2152,98,173149,0.50561797752809,NA,NA,NA,"control","control"
"89","2020-09-28",2152,99,173381,0.59375,NA,NA,NA,"control","control"
"90","2020-09-29",2152,100,173611,0.602941176470588,NA,NA,NA,"control","control"
"91","2020-09-30",2152,101,173835,0.578947368421053,NA,NA,NA,"control","control"
"92","2020-10-01",2152,102,174079,0.5,NA,NA,NA,"control","control"
"93","2020-10-02",2152,103,174305,0.556451612903226,NA,NA,NA,"control","control"
"94","2020-10-03",2152,104,174531,0.510416666666667,NA,NA,NA,"control","control"
"95","2020-10-04",2152,105,174761,0.436974789915966,NA,NA,NA,"control","control"
"96","2020-10-05",2152,106,174987,0.465909090909091,NA,NA,NA,"control","control"
"97","2020-10-06",2152,107,175203,0.459677419354839,NA,NA,NA,"control","control"
"98","2020-10-07",2152,108,175423,0.491525423728814,NA,NA,NA,"control","control"
"99","2020-10-08",2152,109,175645,0.475,"Bilateral PPC 300ng","Bilateral PPC",NA,"PPC","Both"
"100","2020-10-08",2152,109,175635,0.490566037735849,"Bilateral PPC 300ng","Bilateral PPC",NA,"PPC","Both"
"101","2020-10-09",2152,110,175867,0.520408163265306,NA,NA,NA,"control","control"
"102","2020-10-10",2152,111,176087,0.540983606557377,NA,NA,NA,"control","control"
"103","2020-10-11",2152,112,176327,0.561904761904762,NA,NA,NA,"control","control"
"104","2020-10-12",2152,113,176547,0.553719008264463,NA,NA,NA,"control","control"
"105","2020-10-13",2152,114,176761,0.550387596899225,NA,NA,NA,"control","control"
"106","2020-10-14",2152,115,176971,0.525179856115108,NA,NA,NA,"control","control"
"107","2020-10-15",2152,116,177181,0.5,"Right PPC 300ng","Right PPC",NA,"PPC","Right"
"108","2020-10-16",2152,117,177399,0.473684210526316,NA,NA,NA,"control","control"
"109","2020-10-17",2152,118,177613,0.606299212598425,NA,NA,NA,"control","control"
"110","2020-10-18",2152,119,177823,0.486666666666667,NA,NA,NA,"control","control"
"111","2020-10-19",2152,120,178033,0.446043165467626,NA,NA,NA,"control","control"
"112","2020-10-20",2152,121,178253,0.576642335766423,NA,NA,NA,"control","control"
"113","2020-10-21",2152,122,178465,0.5,NA,NA,NA,"control","control"
